cas_rn,substance,regs,syns,used_for,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
623-19-8,FURFURYL PROPIONATE,[],"['FURFURYL PROPIONATE', 'FURFURYL PROPANOATE', '2-FURANMETHANOL', ' PROPANOATE', '2-FURANMETHYL PROPANOATE', 'FURFURYL ALCOHOL', ' PROPIONATE', '2-FURANMETHYL PROPIONATE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3346,6,,,740
252736-36-0,FURFURYL PROPYL DISULFIDE,[],"['FURFURYL PROPYL DISULFIDE', 'FURAN', ' 2-((PROPYLDITHIO)METHYL)-', '2-((PROPYLDITHIO)METHYL)FURAN']",['FLAVORING AGENT OR ADJUVANT'],3979,20,,,1079
1438-94-4,N-FURFURYLPYRROLE,[],"['1-FURFURYLPYRROLE', 'N-FURFURYLPYRROLE', '1-(2-FURFURYL)PYRROLE', '1H-PYRROLE', ' 1-(2-FURANYLMETHYL)-', '1-(2-FURANYLMETHYL)-1H-PYRROLE', 'PYRROLE', ' 1-FURFURYL-', 'N-(2-FURFURYL)PYRROLE']",['FLAVORING AGENT OR ADJUVANT'],3284,5,,,1310
13678-68-7,FURFURYL THIOACETATE,[],"['FURFURYL THIOACETATE', 'FURFURYLTHIOL ACETATE', 'ETHANETHIOIC ACID', ' S-(2-FURANYLMETHYL) ESTER', 'S-(2-FURANYLMETHYL) ETHANETHIOATE', 'ACETIC ACID', ' THIO-', ' S-FURFURYL ESTER', 'S-FURFURYL THIOACETATE']",['FLAVORING AGENT OR ADJUVANT'],3162,4,25.0,,1074
58066-86-7,1-(2-FURFURYLTHIO)PROPANONE,[],"['(FURFURYLTHIO)ACETONE', '2-propanone', ' 1-((2-furanylmethyl)thio)-', '1-((2-furanylmethyl)thio)-2-propanone', '1-(furfurylthio)propanone']",['FLAVORING AGENT OR ADJUVANT'],4676,25,,,2096
59020-85-8,FURFURYL THIOPROPIONATE,[],"['FURFURYL THIOPROPIONATE', 'FURFURYLTHIOL PROPIONATE', 'PROPANETHIOIC ACID', ' S-(2-FURANYLMETHYL) ESTER', 'S-(2-FURANYLMETHYL) PROPANETHIOATE']",['FLAVORING AGENT OR ADJUVANT'],3347,6,25.0,,1075
55764-31-3,"3-(2-FUROYLTHIO)-2,5-DIMETHYLFURAN",[],"['3-(2-FUROYLTHIO)-2', '5-DIMETHYLFURAN', 'S-(2', '5-DIMETHYL-3-FURYL) THIO-2-FUROATE', 'S-(2', '5-DIMETHYL-3-FURANYL) 2-FURANCARBOTHIOATE', '2', '5-DIMETHYL-3-THIOFUROYLFURAN', '2-FURANCARBOTHIOIC ACID', ' S-(2', '5-DIMETHYL-3-FURANYL) ESTER']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3481,10,,,1071
623-30-3,3-(2-FURYL)ACROLEIN,[],"['2-FURANACROLEIN', '3-(2-FURYL)ACROLEIN', '3-(2-FURYL)-2-PROPEN-1-AL', '2-PROPENAL', ' 3-(2-FURANYL)-', '3-(2-FURANYL)-2-PROPENAL', 'BETA-2-FURYLACROLEIN', '3-(ALPHA-FURYL)PROPENAL', 'FURYLACROLEIN']",['FLAVORING AGENT OR ADJUVANT'],2494,3,,,1497
25790-35-6,"1-(2-FURYL)-1,3-BUTANEDIONE",[],"['1-(2-FURYL)-1', '3-BUTANEDIONE', 'FURFURYL-1', '3-BUTANEDIONE', 'FUROYL ACETONE', '2-FUROYLACETONE', '1', '3-BUTANEDIONE', ' 1-(2-FURANYL)-', '1-(2-FURANYL)-1', '3-BUTANEDIONE', '1', '3-BUTANEDIONE', ' 1-(2-FURYL)-']",,,,,,
699-17-2,1-(2-FURYL)BUTAN-3-ONE,[],"['4-(2-FURYL)-2-BUTANONE', '2-butanone', ' 4-(2-furanyl)-', '2-butanone', ' 4-(2-furyl)-', 'furfurylacetone', '4-(2-furanyl)-2-butanone']",['FLAVORING AGENT OR ADJUVANT'],4120,22,,,1510
623-15-4,4-(2-FURYL)-3-BUTEN-2-ONE,[],"['FURFURYL ACETONE', 'FURFURYLIDENEACETONE', '4-(2-FURYL)-3-BUTEN-2-ONE', '3-BUTEN-2-ONE', ' 4-(2-FURANYL)-', '4-(2-FURANYL)-3-BUTEN-2-ONE', '3-BUTEN-2-ONE', ' 4-(2-FURYL)-', 'MONOFURFURYLIDENEACETONE', '2-FURFURYLIDENEACETONE']",['FLAVORING AGENT OR ADJUVANT'],2495,3,,,1511
1192-62-7,2-FURYL METHYL KETONE,[],"['2-FURYL METHYL KETONE', 'ACETYLFURAN', 'ETHANONE', ' 1-(2-FURANYL)-', 'KETONE', ' 2-FURYL METHYL', '2-ACETYLFURAN', '1-(2-FURANYL)ETHANONE', '2-FURYLETHANONE', '1-(2-FURYL)ETHANONE']",['FLAVORING AGENT OR ADJUVANT'],3163,4,25.0,,1503
6975-60-6,(2-FURYL)-2-PROPANONE,['172.515'],"['FURFURYL METHYL KETONE', '(2-FURYL)-2-PROPANONE', 'FURYL ACETONE', 'METHYL FURFURYL KETONE', '1-(2-FURYL)-2-PROPANONE', '1-FURYL-2-PROPANONE', '2-PROPANONE', ' 1-(2-FURANYL)-', '1-(2-FURANYL)-2-PROPANONE', '2-PROPANONE', ' 1-(2-FURYL)-']",['FLAVORING AGENT OR ADJUVANT'],2496,3,,,1508
8013-75-0,"FUSEL OIL, REFINED",['172.515'],"['FUSEL OIL', 'FUSEL OIL', ' REFINED', 'FUSEL OIL', ' REFINED (MIXED AMYL ALCOHOLS)', 'ISOAMYL FUSEL OIL', 'AMYL ALCOHOL', ' COMMERCIAL']",['FLAVORING AGENT OR ADJUVANT'],2497,3,,,
977080-39-9,ALPHA-GALACTOSIDASE FROM MORTEIRELLA VINACEAE RAFFINOSEUTILIZER,['173.145'],"['GALACTOSIDASE', ' ALPHA-', ' MORTIERELLA VINACEAE VAR. RAFFINOSEUTILIZER']",['ENZYME'],,,,,
977050-77-3,"GALANGA, GREATER (ALPINIA GALANGA WILLD)",['172.51'],"['GREATER GALANGAL', 'GALANGAL', 'GALANGA', ' GREATER', 'ALPINIA GALANGA', 'LARGE GALANGA', 'LAOS (SPICE)', 'THAI GINGER', 'JAVA ROOT', 'KHA (SPICE)', 'LANGUAS', 'GALANGALE', 'GALANGA', 'KA (SPICE)', 'KAEMPFERIA GALANGA', 'COLIC ROOT', 'EAST INDIA ROOT', 'SIAMESE GINGER', 'GINGER', ' SIAMESE']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977038-75-7,GALANGAL ROOT (ALPINIA SPP.),['182.1'],"['GALANGAL ROOT', 'GALANGA ROOT']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2498,3,,,
977038-76-8,"GALANGAL ROOT, EXTRACT (ALPINIA SPP.)",['182.2'],"['GALANGAL ROOT EXTRACT', 'GALANGA ROOT EXTRACT']",['FLAVORING AGENT OR ADJUVANT'],2499,3,,,
8024-40-6,"GALANGAL ROOT, OIL (ALPINIA SPP.)",['182.2'],"['GALANGAL ROOT OIL', 'GALANGAL OIL', 'OILS', ' GALANGAL', 'GALANGA ROOT OIL']",['FLAVORING AGENT OR ADJUVANT'],2500,3,,,
8023-91-4,"GALBANUM, OIL (FERULA SPP.)",['172.51'],"['GALBANUM OIL', 'OILS', ' GALBANUM', 'FERULA GALBANIFLUA OIL']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2501,3,,,
9000-24-2,"GALBANUM, RESIN (FERULA SPP.)",['172.51'],"['GALBANUM', 'GALBANUM RESIN', 'FERULA GALBANIFLUA RESIN', 'GALBANUM GUM', 'FERULA GUMMOSA RESIN']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2502,3,,,
8001-48-7,GAMBIR (UNCARIA GAMBIR ROXB.),['172.51'],"['GAMBIR', 'CATECHU', ' PALE', 'CATECHU', 'GAMBIR CATECHU', 'GAMBIR GUM', 'GAMBIER', 'UNCARIA GAMBIR EXTRACT', 'UNCARIA GAMBIR', 'TERRA JAPONICA']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",,,,,
853947-47-4,GARDENIA GUMMIFERA DISTILLATE,[],"['GARDENIA GUMMIFERA EXTRACT', 'gardenia gummifera distillate', 'Gardenia gummifera', ' ext.']",['FLAVORING AGENT OR ADJUVANT'],4265,23,,,
977001-81-2,GARLIC,"['172.26', '184.1317', ' 101.22 ,  139.110 ,  139.150 ,  155.194 ,  155.200']","['GARLIC', 'ALLIUM SATIVUM', 'AIL (ALLIUM SATIVUM)']",['FLAVORING AGENT OR ADJUVANT'],,,,,
8008-99-9,GARLIC EXTRACT,['184.1317'],"['GARLIC EXTRACT', 'GARLIC', ' EXT.', 'ALLIUM SATIVUM EXTRACT']",['FLAVORING AGENT OR ADJUVANT'],,,,,
8000-78-0,"GARLIC, OIL (ALLIUM SATIVUM L.)",['184.1317'],"['GARLIC OIL', 'OILS', ' GARLIC', 'ALLIUM SATIVUM OIL']",['FLAVORING AGENT OR ADJUVANT'],2503,3,,,
9000-70-8,GELATIN,"['172.23', '172.255', '172.28', '182.7', ' 133.178 ,  133.179']","['GELATIN', 'GELATINE', 'GELATINS']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'FLAVORING AGENT OR ADJUVANT', 'FORMULATION AID', 'HUMECTANT', 'PROCESSING AID', 'SOLVENT OR VEHICLE', 'STABILIZER OR THICKENER', 'SURFACE-FINISHING AGENT', 'TEXTURIZER']",,,,,
71010-52-1,GELLAN GUM,['172.665'],['GELLAN GUM'],['STABILIZER OR THICKENER'],,,,,
977161-78-6,"GENET, ABSOLUTE (SPARTIUM JUNCEUM L.)",['172.51'],"['SPARTIUM ABSOLUTE', 'GENET ABSOLUTE', 'SPARTIUM JUNCEUM ABSOLUTE', 'SPANISH BROOM ABSOLUTE']",['FLAVORING AGENT OR ADJUVANT'],2504,3,,,
90131-21-8,"GENET, EXTRACT (SPARTIUM JUNCEUM L.)",['172.51'],"['SPARTIUM EXTRACT', 'GENET EXTRACT', 'SPANISH BROOM EXTRACT', 'SPARTIUM JUNCEUM', ' EXT.']",['FLAVORING AGENT OR ADJUVANT'],2505,3,,,
72968-42-4,"GENTIAN ROOT, EXTRACT (GENTIANA LUTEA L.)",['172.51'],"['GENTIAN EXTRACT', 'GENTIAN ROOT EXTRACT', 'GENTIAN RHIZOME AND ROOTS EXTRACT', 'GENTIANA LUTEA ROOT EXTRACT', 'GENTIAN', ' GENTIANA LUTEA', ' EXT.']",['FLAVORING AGENT OR ADJUVANT'],2506,3,,,
977088-41-7,"GENTIAN, STEMLESS (GENTIANA ACAULIS L.)",['172.51'],"['GENTIAN', ' STEMLESS']",['FLAVORING AGENT OR ADJUVANT'],,,,,
459-80-3,GERANIC ACID,[],"['GERANIC ACID', '2', '6-OCTADIENOIC ACID', ' 3', '7-DIMETHYL-', '3', '7-DIMETHYL-2', '6-OCTADIENOIC ACID', 'GERANOIC ACID', 'InChI=1S/C10H16O2/c1-8(2)5-4-6-9(3)7-10(11)12/h5', '7H', '4', '6H2', '1-3H3', '(H', '11', '12)', 'InChIKey: ZHYZQXUYZJNEHD-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],4121,22,,,1825
106-24-1,GERANIOL,['182.6'],"['GERANIOL', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-OL', ' TRANS-', '2', '6-OCTADIEN-1-OL', ' 3', '7-DIMETHYL-', ' (E)-', 'GERANYL ALCOHOL', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-OL', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2507,3,,,1223
977001-35-6,GERANIUM (PELARGONIUM SPP.),['182.1'],"['GERANIUM', 'PELARGONIUM', 'STORKSBILL']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977091-47-6,"GERANIUM, EAST INDIAN, EXTRACT (CYMBOPOGON MARTINI STAPF.)",['182.2'],"['PALMAROSA EXTRACT', 'GERANIUM EXTRACT', ' EAST INDIAN', 'CYMBOPOGON MARTINI EXTRACT']",['FLAVORING AGENT OR ADJUVANT'],,,,,
8014-19-5,"GERANIUM, EAST INDIAN, OIL (CYMBOPOGON MARTINI STAPF.)",['182.2'],"['PALMAROSA OIL', 'GERANIUM OIL', ' EAST INDIAN', 'CYMBOPOGON MARTINI OIL', 'GERANIUM OIL', ' TURKISH TYPE', 'OILS', ' PALMAROSA']",['FLAVORING AGENT OR ADJUVANT'],2831,3,,,
977091-46-5,GERANIUM EXTRACT (PELARGONIUM SPP.),['182.2'],"['GERANIUM EXTRACT', 'PELARGONIUM EXTRACT']",['FLAVORING AGENT OR ADJUVANT'],,,,,
8000-46-2,"GERANIUM, OIL (PELARGONIUM SPP.)",['182.2'],"['GERANIUM OIL', 'PELARGONIUM OIL', 'OILS', ' GERANIUM']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977143-78-4,"GERANIUM, ROSE, OIL (PELARGONIUM GRAVEOLENS L'HER.)",['182.2'],"['ROSE GERANIUM OIL', 'GERANIUM OIL', ' ROSE', 'GERANIUM OIL', ' ALGERIAN TYPE', 'PELARGONIUM GRAVEOLENS OIL', 'GERANIUM', ' ROSE', ' OIL']",['FLAVORING AGENT OR ADJUVANT'],2508,3,,,
105-87-3,GERANYL ACETATE,['182.6'],"['GERANYL ACETATE', '2', '6-OCTADIEN-1-OL', ' 3', '7-DIMETHYL-', ' ACETATE', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL ETHANOATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL ACETATE', ' TRANS-']",['FLAVORING AGENT OR ADJUVANT'],2509,3,,,58
10032-00-5,GERANYL ACETOACETATE,['172.515'],"['GERANYL ACETOACETATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL ACETOACETATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL 3-OXOBUTANOATE', ' TRANS-', 'GERANYL 3-OXOBUTANOATE', 'GERANYL BETA-KETOBUTYRATE', 'BUTANOIC ACID', ' 3-OXO-', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL 3-OXOBUTANOATE', ' (E)-', 'ACETOACETIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL ACETOACETATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2510,3,,,599
3796-70-1,GERANYL ACETONE,['172.515'],"['GERANYLACETONE', 'GERANYL ACETONE', 'GERANYLACETONE', ' TRANS-', '6', '10-DIMETHYL-5', '9-UNDECADIEN-2-ONE', ' TRANS-', '2', '6-DIMETHYL-2', '6-UNDECADIEN-2-ONE', ' TRANS-', '5', '9-UNDECADIEN-2-ONE', ' 6', '10-DIMETHYL-', ' (E)-', '6', '10-DIMETHYL-5', '9-UNDECADIEN-2-ONE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],3542,11,,,1122
94-48-4,GERANYL BENZOATE,['172.515'],"['GERANYL BENZOATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL BENZOATE', ' TRANS-', '2', '6-OCTADIEN-1-OL', ' 3', '7-DIMETHYL-', ' BENZOATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2511,3,,,860
106-29-6,GERANYL BUTYRATE,['172.515'],"['GERANYL BUTYRATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL BUTANOATE', ' TRANS-', 'GERANYL BUTANOATE', 'BUTANOIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL BUTANOATE', ' (E)-', 'BUTYRIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL BUTYRATE', ' (E)-', '2', '6-OCTADIEN-1-OL', ' 3', '7-DIMETHYL-', ' BUTYRATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2512,3,,,66
105-86-2,GERANYL FORMATE,['172.515'],"['GERANYL FORMATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL FORMATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL METHANOATE', ' TRANS-', 'GERANYL METHANOATE', '2', '6-OCTADIEN-1-OL', ' 3', '7-DIMETHYL-', ' FORMATE', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL FORMATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2514,3,,,54
10032-02-7,GERANYL HEXANOATE,['172.515'],"['GERANYL HEXANOATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL HEXANOATE', ' TRANS-', 'HEXANOIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL HEXANOATE', ' (E)-', 'GERANYL CAPROATE']",['FLAVORING AGENT OR ADJUVANT'],2515,3,25.0,,70
2345-26-8,GERANYL ISOBUTYRATE,['172.515'],"['GERANYL ISOBUTYRATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL ISOBUTYRATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL 2-METHYLPROPANOATE', ' TRANS-', 'GERANYL 2-METHYLPROPANOATE', 'PROPANOIC ACID', ' 2-METHYL-', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL 2-METHYLPROPANOATE', ' (E)-', 'ISOBUTYRIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL ISOBUTYRATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2513,3,25.0,,72
109-20-6,GERANYL ISOVALERATE,['172.515'],"['GERANYL ISOVALERATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL ISOPENTANOATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL ISOVALERATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL 3-METHYLBUTANOATE', ' TRANS-', 'GERANYL ISOVALERIANATE', 'GERANYL 3-METHYLBUTANOATE', 'GERANYL ISOPENTANOATE', 'BUTANOIC ACID', ' 3-METHYL-', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL 3-METHYLBUTANOATE', ' (E)-', 'ISOVALERIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL ISOVALERATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2518,3,,,75
68705-63-5,GERANYL 2-METHYLBUTYRATE,[],"['GERANYL 2-METHYLBUTYRATE', 'BUTANOIC ACID', ' 2-METHYL-', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL 2-METHYLBUTANOATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],4122,22,,,1820
102-22-7,GERANYL PHENYLACETATE,['172.515'],"['GERANYL PHENYLACETATE', 'BENZENEACETIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', 'ACETIC ACID', ' PHENYL-', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', 'GERANYL ALPHA-TOLUATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL PHENYLACETATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIENYL BENZENEACETATE', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL PHENYLACETATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2516,3,,,1020
105-90-8,GERANYL PROPIONATE,['172.515'],"['GERANYL PROPIONATE', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL PROPANOATE', ' TRANS-', '3', '7-DIMETHYL-2', '6-OCTADIEN-1-YL PROPIONATE', ' TRANS-', 'GERANYL PROPANOATE', '2', '6-OCTADIEN-1-OL', ' 3', '7-DIMETHYL-', ' PROPANOATE', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL PROPANOATE', ' (E)-', '2', '6-OCTADIEN-1-OL', ' 3', '7-DIMETHYL-', ' PROPIONATE', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL PROPIONATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],2517,3,,,62
7785-33-3,GERANYL TIGLATE,[],"['GERANYL TIGLATE', '2-butenoic acid', ' 2-methyl-', ' (2E)-3', '7-dimethyl-2', '6-octadienyl ester', ' (2E)-', '3', '7-dimethyl-2', '6-octadienyl 2-methyl-2-butenoate', ' trans', 'trans-', 'tiglic acid', ' trans-3', '7-dimethyl-2', '6-octadienyl ester', 'tiglic acid', ' geranyl ester']",['FLAVORING AGENT OR ADJUVANT'],4044,21,,,1822
10402-47-8,GERANYL VALERATE,[],"['GERANYL VALERATE', 'GERANYL PENTANOATE', 'PENTANOIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL PENTANOATE', ' (E)-', 'VALERIC ACID', ' 3', '7-DIMETHYL-2', '6-OCTADIENYL ESTER', ' (E)-', '3', '7-DIMETHYL-2', '6-OCTADIENYL VALERATE', ' (E)-']",['FLAVORING AGENT OR ADJUVANT'],4123,22,,,1821
977081-08-5,"GERMANDER, CHAMAEDRYS (TEUCRIUM CHAMAEDRYS L.)",['172.51'],"['GERMANDER', 'TEUCRIUM CHAMAEDRYS', 'CHAMAEDRYS', 'WALL GERMANDER', 'GERMANDER', ' WALL', 'GERMANDER', ' CHAMAEDRYS', 'GERMANDER', ' COMMON', 'COMMON GERMANDER']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977091-51-2,"GERMANDER, CHAMAEDRYS, EXTRACT (TEUCRIUM CHAMAEDRYS L.)",['172.51'],"['GERMANDER EXTRACT', 'CHAMAEDRYS EXTRACT', 'TEUCRIUM CHAMAEDRYS EXTRACT', 'GERMANDER EXTRACT', ' CHAMAEDRYS']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977091-52-3,"GERMANDER, CHAMAEDRYS, EXTRACT SOLID (TEUCRIUM CHAMAEDRYS L.)",['172.51'],"['GERMANDER EXTRACT', ' SOLID', 'CHAMAEDRYS SOLID EXTRACT', 'GERMANDER EXTRACT', ' SOLID', ' CHAMAEDRYS', 'TEUCRIUM CHAMAEDRYS SOLID EXTRACT']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977088-44-0,"GERMANDER, GOLDEN (TEUCRIUM POLIUM L.)",['172.51'],"['GERMANDER', ' GOLDEN', 'TEUCRIUM POLIUM', 'GOLDEN GERMANDER', 'POLEY']",['FLAVORING AGENT OR ADJUVANT'],,,,,
9000-28-6,"GHATTI, GUM (ANOGEISSUS LATIFOLIA WALL.)",['184.1333'],"['GHATTI GUM', 'INDIAN GUM', 'GUM GHATTI', 'ANOGEISSUS LATIFOLIA GUM']","['EMULSIFIER OR EMULSIFIER SALT', 'FLAVOR ENHANCER', 'SOLVENT OR VEHICLE', 'STABILIZER OR THICKENER']",2519,3,,,
977136-81-4,GIBBERELLIC ACID & POTASSIUM GIBBERELLATE,['172.725'],['GIBBERELLIC ACID/POTASSIUM GIBBERELLATE'],['MALTING OR FERMENTING AID'],,,,,
977001-38-9,GINGER (ZINGIBER OFFICINALE ROSC.),"['182.1', '101.22']","['GINGER', 'ZINGIBER OFFICINALE', 'GINGEMBRE (ZINGEBER OFFICINALE)', 'TRUE GINGER', 'CANTON GINGER']",['FLAVORING AGENT OR ADJUVANT'],2520,3,,,
84696-15-1,"GINGER, EXTRACT (ZINGIBER OFFICINALE ROSC.)",['182.2'],"['GINGER EXTRACT', 'ZINGIBER OFFICINALE EXTRACT', 'GINGER', ' EXT.']",['FLAVORING AGENT OR ADJUVANT'],2521,3,,,
8007-08-7,"GINGER, OIL (ZINGIBER OFFICINALE ROSC.)",['182.2'],"['GINGER OIL', 'OILS', ' GINGER', 'ZINGIBER OFFICINALE OIL']",['FLAVORING AGENT OR ADJUVANT'],2522,3,,,
8002-60-6,"GINGER, OLEORESIN (ZINGIBER OFFICINALE ROSC.)",['182.2'],"['GINGER OLEORESIN', 'RESINS', ' OLEO-', ' GINGER']",['FLAVORING AGENT OR ADJUVANT'],2523,3,,,
526-95-4,D-GLUCONIC ACID,[],"['GLUCONIC ACID', ' D-', 'DEXTRONIC ACID', 'MALTONIC ACID', 'GLYCONIC ACID', 'GLYCOGENIC ACID', 'PENTAHYDROXYCAPROIC ACID', 'D-GLUCONIC ACID']",['NUTRIENT SUPPLEMENT'],,,,,
90-80-2,GLUCONO-DELTA LACTONE,"['184.1318', ' 133.129 ,  155.120']","['DELTA-D-GLUCONOLACTONE', 'D-GLUCONIC ACID', ' DELTA-LACTONE', 'GLUCONOLACTONE', ' DELTA-D-', 'GLUCONO-DELTA-LACTONE', 'GLUCONIC ACID', ' DELTA-LACTONE', ' D-', 'GLUCONO-DELTA-LACTONE', ' D-', 'GLUCONO-1', '5-LACTONE', ' D-']","['CURING OR PICKLING AGENT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'FORMULATION AID', 'LEAVENING AGENT', 'PH CONTROL AGENT', 'SEQUESTRANT']",,,,,
5438-31-3,N-GLUCONYL ETHANOLAMINE,[],"['GLUCONYL MONOETHANOLAMIDE', 'D-gluconamide', ' N-(2-hydroxyethyl)-', 'N-(2-hydroxyethyl)-D-gluconamide', 'gluconamide', ' N-(2-hydroxyethyl)-', ' D-', 'N-(2-hydroxyethyl)gluconamide', ' D-', 'N-gluconyl ethanolamine', 'gluconic acid monoethanolamide', 'InChI=1S/C8H17NO7/c10-2-1-9-8(16)7(15)6(14)5(13)4(12)3-11/h4-7', '10-15H', '1-3H2', '(H', '9', '16)/t4-', '5-', '6+', '7-/m1/s1', 'InChIKey: DTMUKVUZNZJFNO-MVIOUDGNSA-N']",['FLAVORING AGENT OR ADJUVANT'],4254,23,24.0,,1772
874113-45-8,N-GLUCONYL ETHANOLAMINE PHOSPHATE,[],"['GLUCONYL MONOETHANOLAMINE PHOSPHATE', 'D-gluconamide', ' N-(2-(phosphonooxy)ethyl)-', 'N-(2-(phosphonooxy)ethyl)-D-gluconamide', 'N-gluconyl ethanolamine phosphate', 'gluconic acid monoethanolamide phosphate', 'InChI=1S/C8H18NO10P/c10-3-4(11)5(12)6(13)7(14)8(15)9-1-2-19-20(16', '17)18/h4-7', '10-14H', '1-3H2', '(H', '9', '15)(H2', '16', '17', '18)/t4-', '5-', '6+', '7-/m1/s1', 'InChIKey=JNXDTQSHHDGYGF-MVIOUDGNSA-N']",['FLAVORING AGENT OR ADJUVANT'],4255,23,,,1773
977042-63-9,GLUCOSE ISOMERASE FROM BACILLUS COAGULANS,['184.1372'],"['GLUCOSE ISOMERASE', ' BACILLUS COAGULANS']",['ENZYME'],,,,,
977090-08-6,GLUCOSE ISOMERASE FROM IMMOBILIZED ARTHROBACTER GLOBIFORMIS,[],"['GLUCOSE ISOMERASE', ' ARTHROBACTER GLOBIFORMIS', ' IMMOBILIZED']",['ENZYME'],,,,,
