cas_rn,substance,regs,syns,used_for,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
98-86-2,ACETOPHENONE,['172.515'],"['ACETOPHENONE', 'ACETYLBENZENE', 'ACETYLBENZOL', 'BENZOYLMETHIDE', 'HYPNONE', 'METHYL PHENYL KETONE', 'PHENYL METHYL KETONE', '1-PHENYLETHANONE', 'ETHANONE', ' 1-PHENYL-']","['FLAVORING AGENT OR ADJUVANT', 'SOLVENT OR VEHICLE']",2009,3.0,,,806
27177-85-1,ACETOSTEARIN,[],"['ACETOMONOSTEARIN', 'OCTDECANOIC ACID', ' MONOESTER WITH 1', '2', '3-PROPANETRIOL MONOACETATE', '1', '2', '3-PROPANETRIOL MONOACETATE MONOCTADECANOATE', 'STEARIN', ' ACETO-', 'GLYCEROL MONOACETATE MONOSTEARATE', 'GLYCERYL MONOSTEARATE', ' MONOACETYLATED', 'STEAROMONOACETIN']",,,,,,
72541-09-4,6-ACETOXYDIHYDROTHEASPIRANE,[],"['6-ACETOXYDIHYDROTHEASPIRANE', '2', '6', '10', '10-TETRAMETHYL-1-OXASPIRO(4.5)DECAN-6-YL ACETATE', '1-OXASPIRO(4.5)DECAN-6-OL', ' 2', '6', '10', '10-TETRAMETHYL-', ' ACETATE']",['FLAVORING AGENT OR ADJUVANT'],3651,13.0,,,1647
4166-20-5,"4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE",[],"['4-ACETOXY-2', '5-DIMETHYL-3(2H)-FURANONE', '3(2H)-FURANONE', ' 4-(ACETYLOXY)-2', '5-DIMETHYL-', '3(2H)-FURANONE', ' 4-HYDROXY-2', '5-DIMETHYL-', ' ACETATE', '4-(ACETYLOXY)-2', '5-DIMETHYL-3(2H)-FURANONE', '4-HYDROXY-2', '5-DIMETHYL-3(2H)-FURANONE ACETATE']",['FLAVORING AGENT OR ADJUVANT'],3797,17.0,,,1456
1608-72-6,(+/-)-1-ACETOXY-1-ETHOXYETHANE,[],"['1-ETHOXYETHYL ACETATE', 'ACETIC ACID', ' 1-ETHOXYETHYL ESTER', '1-ETHOXY-1-ETHYL ACETATE', '1-acetoxy-1-ethoxyethane', 'InChI=1S/C6H12O3/c1-4-8-6(3)9-5(2)7/h6H', '4H2', '1-3H3', 'InChIKey: FAIARWOGQAQTPS-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],4069,22.0,,,1726
3572-06-3,4-(P-ACETOXYPHENYL)-2-BUTANONE,[],"['4-(P-HYDROXYPHENYL)-2-BUTANONE ACETATE', '2-BUTANONE', ' 4-(4-(ACETYLOXY)PHENYL)-', '2-BUTANONE', ' 4-(P-HYDROXYPHENYL)-', ' ACETATE', '4-(P-ACETOXYPHENYL)-2-BUTANONE', '4-(4-ACETYLOXYPHENYL)-2-BUTANONE']",['FLAVORING AGENT OR ADJUVANT'],3652,13.0,,,731
164524-93-0,"5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE",[],"['5-ACETYL-2', '3-DIHYDRO-1', '4-THIAZINE', 'ethanone', ' 1-(3', '4-dihydro-2H-1', '4-thiazin-5-yl)-', '1-(3', '4-dihydro-2H-1', '4-thiazin-5-yl)ethanone', 'InChI=1S/C6H9NOS/c1-5(8)6-4-9-3-2-7-6/h4', '7H', '2-3H2', '1H3', 'InChIKey: YJSKAAVPUSXIPL-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],4296,23.0,,,1766
22940-86-9,"2-ACETYL-3,5-DIMETHYLFURAN",[],"['2-ACETYL-3', '5-DIMETHYLFURAN', 'ethanone', ' 1-(3', '5-dimethyl-2-furanyl)-', 'ketone', ' 3', '5-dimethyl-2-furyl methyl', '1-(3', '5-dimethyl-2-furanyl)-ethanone', '3', '5-dimethyl-2-furyl methyl ketone', 'ethanone', ' 1-(3', '5-dimethyl-2-furanyl)']",['FLAVORING AGENT OR ADJUVANT'],4071,22.0,,,1505
10599-70-9,"3-ACETYL-2,5-DIMETHYLFURAN",[],"['3-ACETYL-2', '5-DIMETHYLFURAN', 'ETHANONE', ' 1-(2', '5-DIMETHYL-3-FURANYL)-', 'KETONE', ' 2', '5-DIMETHYL-3-FURYL METHYL', '2', '5-DIMETHYL-3-ACETYLFURAN', '1-(2', '5-DIMETHYL-3-FURANYL)ETHANONE', '2', '5-DIMETHYL-3-FURYL METHYL KETONE']",['FLAVORING AGENT OR ADJUVANT'],3391,7.0,,,1506
36871-78-0,"4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE",[],"['4-ACETYL-2', '5-DIMETHYL-3(2H)-FURANONE', '3(2H)-furanone', ' 4-acetyl-2', '5-dimethyl-']",['FLAVORING AGENT OR ADJUVANT'],4070,22.0,,,
