cas_rn,substance,regs,syns
9008-66-6,NYLON 610,177.15,"['POLYHEXAMETHYLENE SEBACAMIDE', 'NYLON 6/10']"
24936-74-1,NYLON 612,"177.12, 177.15","['HEXAMETHYLENEDIAMINE-DODECANEDIOIC ACID COPOLYMER, SRU', 'POLY(IMINO-1,6-HEXANEDIYLIMINO(1,12-DIOXO-1,12-DODECANEDIYL))', 'POLY(IMINOHEXAMETHYLENEIMINODEDECANEDIOYL)', 'DODECANEDIOIC ACID-HEXAMETHYLENEDIAMINE COPOLYMER, SRU']"
32131-17-2,NYLON 66,"177.12, 177.15, 177.2355","['POLY(HEXAMETHYLENEADIPAMIDE)', 'HEXAMETHYLENEADIPAMIDE POLYMER', 'POLYHEXAMETHYLENEADIPAMIDE', 'NYLON 6/6', 'POLY(IMINO(1,6-DIOXO-1,6-HEXANEDIYL)IMINO-1,6-HEXANEDIYL)', '1,8-DIAZACYCLOTETRADECANE-2,7-DIONE HOMOPOLYMER, SRU']"
24993-04-2,NYLON 6/66,"177.12, 177.1395, 177.15, 177.247","['NYLON 6-NYLON 66 COPOLYMER', 'NYLON 66-EPSILON-CAPROLACTAM COPOLYMER', 'HEXANEDIOIC ACID, POLYMER WITH HEXAHYDRO-2H-AZEPIN-2-ONE AND 1,6-HEXANEDIAMINE', 'POLY(ADIPIC ACID-CO-CAPROLACTAM-CO-HEXAMETHYLENEDIAMINE)', 'POLY(HEXAHYDRO-2H-AZEPIN-2-ONE-CO-1,6-HEXANEDIAMINE-CO-HEXANEDIOIC ACID)']"
25776-72-1,NYLON 66T,"177.12, 177.15","['POLY(HEXAMETHYLENEADIPAMIDE-CO-HEXAMETHYLENETEREPHTHALAMIDE)', 'HEXAMETHYLENE ADIPAMIDE-HEXAMETHYLENE TEREPHTHALAMIDE COPOLYMER', 'HEXAMETHYLENEDIAMINE ADIPATE-HEXAMETHYLENEDIAMINE TEREPHTHALATE COPOLYMER', '1,4-BENZENEDICARBOXYLIC ACID, POLYMER WITH 1,6-HEXANEDIAMINE AND HEXANEDIOIC ACID', 'POLY(ADIPIC ACID-CO-HEXAMETHYLENEDIAMINE-CO-TEREPHTHALIC ACID)', 'POLY(1,4-BENZENEDICARBOXYLIC ACID-CO-1,6-HEXANEDIAMINE-CO-HEXANEDIOIC ACID)']"
25750-23-6,NYLON 6I/6T,"177.12, 177.15","['HEXAMETHYLENETEREPHTHALAMIDE-HEXAMETHYLENEISOPHTHALAMIDE POLYMER', '1,3-BENZENEDICARBOXYLIC ACID-1,4-BENZENEDICARBOXYLIC ACID-1,6-HEXANEDIAMINE COPOLYMER', 'POLY(HEXAMETHYLENEDIAMINE-CO-ISOPHTHALIC ACID-CO-TEREPHTHALIC ACID)', '1,3-BENZENEDICARBOXYLIC ACID, POLYMER WITH 1,4-BENZENEDICARBOXYLIC ACID AND 1,6-HEXANEDIAMINE', 'ISOPHTHALIC ACID, POLYAMIDE WITH 1,6-HEXANEDIAMINE AND TEREPHTHALIC ACID', 'POLY(1,3-BENZENEDICARBOXYLIC ACID-CO-1,4-BENZENEDICARBOXYLIC ACID-CO-1,6-HEXANEDIAMINE)']"
51733-10-9,NYLON 612-NYLON 6 COPOLYMER,"177.248, 178.201","['DODECANEDIOIC ACID-HEXAHYDRO-2H-AZEPIN-2-ONE-1,6-HEXANEDIAMINE', 'DODECANEDIOIC ACID, POLYMER WITH HEXAHYDRO-2H-AZEPIN-2-ONE AND 1,6-HEXANEDIAMINE', 'NYLON 612/6 COPOLYMER', 'POLY(DODECANEDIOIC ACID-CO-HEXAHYDRO-2H-AZEPIN-2-ONE-CO-1,6-HEXANEDIAMINE)', 'POLY(EPSILON-CAPROLACTAM-CO-1,10-DECANEDICARBOXYLIC ACID-CO-1,6-DIAMINOHEXANE)']"
26572-08-7,NYLON 66-NYLON 610 COPOLYMER,"175.3, 177.12, 177.15","['DECANEDIOIC ACID, POLYMER WITH 1,6-HEXANEDIAMINE AND HEXANEDIOIC ACID', 'HEXAMETHYLENEDIAMMONIUM ADIPATE-HEXAMETHYLENEDIAMMONIUM SEBACATE COPOLYMER', 'NYLON 66/610', 'POLY(ADIPIC ACID-CO-HEXAMETHYLENEDIAMINE-CO-SEBACIC ACID)', 'POLY(DECANEDIOIC ACID-CO-1,6-HEXANEDIAMINE-CO-HEXANEDIOIC ACID)']"
51995-62-1,NYLON 6/69 RESINS,"177.12, 177.1395, 177.15","['NYLON 6/69', 'POLY(AZELAIC ACID-CO-CAPROLACTAM-CO-HEXAMETHYLENEDIAMINE)', 'NONANEDIOIC ACID, COMPD. WITH 1,6-HEXANEDIAMINE (1:1), POLYMER WITH HEXAHYDRO-2H-AZEPIN-2-ONE', 'POLY(HEXAHYDRO-2H-AZEPIN-2-ONE-CO-1,6-HEXANEDIAMINE NONANEDIOATE)']"
25191-04-2,NYLON 6/12 RESINS,"175.3, 177.12, 177.139, 177.1395","['AZACYCLOTRIDECAN-2-ONE, POLYMER WITH HEXAHYDRO-2H-AZEPIN-2-ONE', 'EPSILON-CAPROLACTAM-OMEGA-LAUROLACTAM COPOLYMER', 'NYLON 12/6 COPOLYMER', 'POLY(CAPROLACTAM-CO-LAUROLACTAM)', 'NYLON 6/12', 'OMEGA-LAUROLACTAM-EPSILON-CAPROLACTAM COPOLYMER', 'POLY(AZACYCLOTRIDECAN-2-ONE-CO-HEXAHYDRO-2H-AZAPIN-2-ONE)', 'NYLON 6/12 RESIN']"
26246-77-5,NYLON RESINS PA 6-3-T,"177.12, 177.15","['DIMETHYL 1,4-BENZENEDICARBOXYLATE-2,2,4-TRIMETHYL-1,6-HEXANEDIAMINE-2,4,4-TRIMETHYL-1,6-HEXANEDIAMINE COPOLYMER', 'POLY(TRIMETHYLHEXAMETHYLENE TEREPHTHALAMIDE)', '1,4-BENZENEDICARBOXYLIC ACID, DIMETHYL ESTER, POLYMER WITH 2,2,4-TRIMETHYL-1,6-HEXANEDIAMINE AND 2,4,4-TRIMETHYL-1,6-HEXANEDIAMINE']"
3323-53-3,NYLON 66 SALT,177.15,['HEXAMETHYLENEDIAMMONIUM ADIPATE']
79331-75-2,NYLON 12T TERPOLYMER,177.15,"[""POLY(ISOPHTHALIC ACID-CO-LAUROLACTAM-CO-4,4'-METHYLENEBIS(2-METHYLCYCLOHEXYLAMINE))"", 'OMEGA-LAUROLACTAM-ISOPHTHALIC ACID-BIS(4-AMINO-3-METHYLCYCLOHEXYL)METHANE COPOLYMER', ""1,3-BENZENEDICARBOXYLIC ACID, POLYMER WITH AZACYCLOTRIDECAN-2-ONE AND 4,4'-METHYLENEBIS(2-METHYLCYCLOHEXANAMINE)""]"
25191-90-6,NYLON 66/610/6 TERPOLYMER,"177.248, 178.201","['DECANEDIOIC ACID-HEXAHYDRO-2H-AZEPIN-2-ONE-1,6-HEXANEDIAMINE-HEXANEDIOIC ACID', 'DECANEDIOIC ACID, POLYMER WITH HEXAHYDRO-2H-AZEPIN-2-ONE, 1,6-HEXANEDIAMINE AND HEXANEDIOIC ACID', 'NYLON 66/610/6 TERPOLYMER', 'POLY(DECANEDIOIC ACID-CO-HEXAHYDRO-2H-AZEPIN-2-ONE-CO-1,6-HEXANEDIAMINE-CO-HEXANEDIOIC ACID)', 'POLY(ADIPIC ACID-CO-HEXAHYDRO-2H-AZEPIN-2-ONE-CO-POLYAMIDE-CO-SEBACIC ACID)', '1,6-HEXANEDIAMINE, POLYAMIDE WITH ADIPIC ACID, HEXAHYDRO-2H-AZEPIN-2-ONE AND SEBACIC ACID']"
68442-12-6,"9-OCTADECANOIC ACID (Z)-, 2-MERCAPTOETHYL ESTER, REACTION PRODUCTSWITH DICHLORODIMETHYLSTANNANE, SODIUM SULFIDE (NA2S) AND TRICHLOROMETHYLSTANNANE",178.201,"['DIMETHYLTIN DICHLORIDE-2-MERCAPTOETHYL OLEATE-METHYLTIN TRICHLORIDE-SODIUM SULFIDE REACTION PRODUCT', '9-OCTADECENOIC ACID (9Z)-, 2-MERCAPTOETHYL ESTER, REACTION PRODUCTS WITH DICHLORODIMETHYLSTANNANE, SODIUM SULFIDE(NA2S) AND TRICHLOROMETHYLSTANNANE']"
52497-24-2,OCTADECANOIC ACID 2-((2-HYDROXYETHYL) OCTADECYLAMINO)ETHYL ESTER,178.313,[]
977098-38-6,ALPHA-(Z)-9-OCTADECENYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) (18 MOLES ETHYLENE OXIDE),178.34,[]
822-23-1,OCTADECYL ACETATE,178.391,['OCTADECYL ACETATE']
1838-08-0,OCTADECYLAMMONIUM CHLORIDE,175.105,"['OCTYLDECYLAMINE, HYDROCHLORIDE', '1-OCTADECANAMINE HYDROCHLORIDE', '1-OCTADECANAMINE, HYDROCHLORIDE']"
2082-79-3,"OCTADECYL 3,5-DI-TERT-BUTYL-4-HYDROXYHYDROCINNAMATE","175.105, 177.101, 178.201","['BENZENEPROPANOIC ACID, 3,5-BIS(1,1-DIMETHYLETHYL)-4-HYDROXY-, OCTADECYL ESTER', 'HYDROCINNAMIC ACID, 3,5-DI-TERT-BUTYL-4-HYDROXY-, OCTADECYL ESTER', 'OCTADECYL 3-(3,5-DI-TERT-BUTYL-4-HYDROXYPHENYL)PROPIONATE', 'OCTADECYL 3,5-BIS(1,1-DIMETHYLETHYL)-4-HYDROXYBENZENEPROPANOATE', ""OCTADECYL BETA-(3',5'-DI-TERT-BUTYL-4'-HYDROXYPHENYL)PROPANOATE"", 'OCTADECYL 3,5-DI-TERT-BUTYL-4-HYDROXYHYDROCINNAMATE', ""OCTADECYL 3-(3',5'-DI-TERT-BUTYL-4'-HYDROXYPHENYL)PROPIONATE"", 'STEARYL 3-(3,5-DI-TERT-BUTYL-4-HYDROXYPHENYL)PROPIONATE', ""n-octadecyl beta-(3',5'-di-tert-butyl-4'-hydroxyphenyl)propionate""]"
94945-28-5,(OCTADECYLIMINO)DIETHYLENE DISTEARATE,178.313,"['(OCTADECYLIMINO)DI-2,1-ETHANEDIYL DIOCTADECANOATE', 'OCTADECANOIC ACID, (OCTADECYLIMINO)DI-2,1-ETHANEDIYL ESTER']"
32360-05-7,OCTADECYL METHACRYLATE,176.17,"['OCTADECYL METHACRYLATE', 'METHACRYLIC ACID, OCTADECYL ESTER', '2-PROPENOIC ACID, 2-METHYL-, OCTADECYL ESTER', 'OCTADECYL 2-METHYL-2-PROPENOATE']"
113669-58-2,"1,2-OCTANEDISULFONIC ACID",178.101,[]
3944-72-7,1-OCTANESULFONIC ACID,178.101,[]
113652-56-5,1-OCTANESULFONIC-2-SULFINIC ACID,178.101,"['1-OCTANESULFONIC ACID, 2-SULFINO-', '1-OCTANESULFONIC-2-SULFINIC ACID']"
124-07-2,OCTANOIC ACID,"172.21, 172.86, 173.315, 173.34, 173.37, 178.101, 184.1025","['OCTOIC ACID', 'OCTYLIC ACID', 'ACID(C8)']"
111-87-5,1-OCTANOL,"172.23, 172.515, 172.864, 175.105, 175.3, 177.12, 177.139, 178.348","['ALCOHOL(C8)', '1-OCTANOL', 'OCTANOL', 'OCTYL ALCOHOL, PRIMARY', 'HEPTYL CARBINOL', 'C8 ALCOHOL', 'FATTY ALCOHOL(C8)']"
123-96-6,2-OCTANOL,"172.515, 176.18, 176.21","['CAPRYLIC ALCOHOL, SECONDARY', 'CAPRYL ALCOHOL, SEC-', 'HEXYL METHYL CARBINOL', 'METHYL HEXYL CARBINOL', 'OCTYL ALCOHOL, SEC-', 'BETA-OCTYL ALCOHOL', 'OCTYL ALCOHOL, BETA-', '1-METHYLHEPTYL ALCOHOL', '2-OCTYL ALCOHOL', '2-HYDROXYOCTANE', '1-METHYL-1-HEPTANOL', '1-METHYLHEPTANOL', 'CAPRYL ALCOHOL']"
111-66-0,1-OCTENE,"175.105, 177.152","['CAPRYLENE', 'alpha-octene']"
28805-58-5,OCTENYL SUCCINIC ACID,178.101,"['SUCCINIC ACID, OCTENYL-', 'BUTANEDIOIC ACID, OCTENYL-', 'OCTENYLBUTANEDIOIC ACID']"
977097-31-6,OCTOXYNOL 40 DIHYDROGEN PHOSPHATE,"175.105, 176.18","['ALPHA-(P-(1,1,3,3-TETRAMETHYLBUTYL)PHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE) (40 MOLES) DIHYDROGEN PHOSPHATE']"
977097-30-5,OCTOXYNOL 6-9 DIHYDROGEN PHOSPHATE,"175.105, 176.18","['ALPHA-(P-(1,1,3,3-TETRAMETHYLBUTYL)PHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE)(6-9 MOLES) DIHYDROGEN PHOSPHATE']"
2499-59-4,OCTYL ACRYLATE,"175.3, 175.32, 176.18, 177.163","['2-PROPENOIC ACID, OCTYL ESTER', 'OCTYL 2-PROPENOATE', 'ACRYLIC ACID, OCTYL ESTER']"
977152-92-3,"OCTYL ALCOHOL, SYNTHETIC","172.864, 173.28, 175.3, 178.348",[]
141-02-6,OCTYL FUMARATE,"175.105, 175.3, 176.17, 176.18","['BIS(2-ETHYLHEXYL) 2-BUTENEDIOATE, (E)-', 'BIS(2-ETHYLHEXYL) 2-BUTENEDIOATE, TRANS-', 'FUMARIC ACID, BIS(2-ETHYLHEXYL) ESTER', 'DIETHYLHEXYL FUMARATE', '2-ETHYLHEXYL FUMARATE', '2-BUTENEDIOIC ACID (E)-, BIS(2-ETHYLHEXYL) ESTER']"
2915-53-9,OCTYL MALEATE,"175.105, 176.17, 176.18","['DICAPRYLYL MALEATE', '2-BUTENEDIOIC ACID (Z)-, DIOCTYL ESTER', 'DIOCTYL 2-BUTENEDIOATE, (Z)-', 'MALEIC ACID, DIOCTYL ESTER', 'BIS(1-OCTYL) MALEATE']"
2157-01-9,OCTYL METHACRYLATE,"175.32, 177.163","['2-PROPENOIC ACID, 2-METHYL-, OCTYL ESTER', 'OCTYL 2-METHYL-2-PROPENOATE', 'METHACRYLIC ACID, OCTYL ESTER']"
27193-28-8,OCTYLPHENOL,175.105,"['OCTYLPHENOL, TERT-', 'PHENOL, (1,1,3,3-TETRAMETHYLBUTYL)-', '(1,1,3,3-TETRAMETHYLBUTYL)PHENOL', 'PHENOL, OCTYL-']"
9086-40-2,OCTYLPHENOL-FORMALDEHYDE POLYMER,177.241,"['FORMALDEHYDE, POLYMER WITH (1,1,3,3-TETRAMETHYLBUTYL)PHENOL', 'FORMALDEHYDE-OCTYLPHENOL COPOLYMER', 'OCTYLPHENOL, TERT,-FORMALDEHYDE POLYMER', 'OCTYLPHENOL-FORMALDEHYDE POLYMER', 'POLY(FORMALDEHYDE-CO-(1,1,3,3-TETRAMETHYLBUTYL)PHENOL)']"
1806-26-4,"OCTYLPHENOL, P-","175.3, 177.241","['OCTYLPHENOL, P-', 'PHENOL, 4-OCTYL-', 'PHENOL, P-OCTYL-']"
977111-24-2,OCTYLPHENOL POLY(ETHYLENE OXIDE-CO-PROPYLENE OXIDE) (40 MOLES ETHYLENE OXIDE/25 MOLES PROPYLENE OXIDE),176.3,[]
1322-97-0,OCTYLPHENOXYETHANOLS,175.105,"['ETHANOL, 2-(OCTYLPHENOXY)-', 'OCTYLPHENOXYETHANOL', '2-(OCTYLPHENOXY)ETHANOL']"
977085-22-5,OCTYLTIN STABILIZER,,[]
977081-60-9,OCTYLTIN TRIS(ALKYL(C10-16) THIOGLYCOLATE),178.265,"['ALKYL(C10-16) THIOGLYCOLATE WITH OCTYLTIN TRICHLORIDE', 'C10-16 ALKYL MERCAPTOACETATE REACTION PRODUCTS WITH TRICHLOROOCTYLSTANNANE']"
26401-86-5,"(N-OCTYL)TIN S,S'S'' TRIS(ISOOCTYLMERCAPTOACETATE)",178.265,"[""(N-OCTYL)TIN S,S',S''-TRIS(ISOOCTYL MERCAPTOACETATE)"", ""ACETIC ACID, 2,2',2''-((OCTYLSTANNYLIDYNE)TRIS(THIO))TRIS-, TRIISOOCTYL ESTER"", 'ACETIC ACID, ((OCTYLSTANNYLIDYNE)TRITHIO)TRI-, TRIISOOCTYL ESTER', 'OCTYLTIN TRIS(ISOOCTYL MERCAPTOACETATE)', ""TRIISOOCTYL 2,2',2''-((OCTYLSTANNYLIDYNE)TRIS(THIO))TRIS(ACETATE)"", 'TRIISOOCTYL ((OCTYLSTANNYLIDYNE)TRITHIO)TRIACETATE']"
8016-35-1,OITICICA OIL,175.3,"['FATS AND GLYCERIDIC OILS, OITICICA']"
977176-49-0,OITICICA OIL FATTY ACIDS,175.3,[]
301-02-0,OLEAMIDE,"175.105, 175.3, 178.391, 179.45, 181.28","['OLEIC ACID AMIDE', 'OLEYL AMIDE', '9-OCTADECENAMIDE, (Z)-', '9-CIS-OLEAMIDE']"
135367-59-8,C16-18 OLEFINS,175.32,"['C16-18 ALPHA-OLEFIN', 'OLEFIN(C16-18), ALPHA-', 'ALKENES, C16-18 ALPHA-', 'C16-18 ALPHA-ALKENES']"
112-80-1,OLEIC ACID,"172.21, 172.86, 173.315, 175.105, 176.18, 177.12, 177.26, 182.7, 182.9","['9-OCTADECENOIC ACID, CIS-', 'RED OIL', 'OLEIC ACID, CIS-', 'WHITE OLEIC ACID', 'OLEINIC ACID', '9-OCTADECENOIC ACID (9Z)-', 'DELTA9-CIS-OCTADECENOIC ACID']"
977047-39-4,"OLEIC ACID, FROM TALL OIL FATTY ACIDS","172.21, 172.862, 173.34, 175.105","['OLEIC ACID DERIVED FROM TALL OIL FATTY ACIDS', 'OLEIC ACID, FROM TALL OIL FATTY ACIDS']"
977042-51-5,OLEIC ACID REACTED WITH N-ALKYL(C16-C18)TRIMETHYLENEDIAMINE,"176.18, 177.12",[]
68170-59-2,"OLEIC ACID, SULFATED",175.105,"['SULFATED OLEIC ACID', 'OCTADECANOIC ACID, 9(OR 10)-(SULFOOXY)-', '9(OR 10)-(SULFOOXY)OCTADECANOIC ACID', '9(OR 10)-(SULFOOXY)STEARIC ACID']"
68735-97-7,"OLEIC ACID, SULFATED, AMMONIUM SALT","176.17, 176.2","['OCTADECANOIC ACID, 9(OR 10)-(SULFOOXY)-, AMMONIUM SALT', 'SULFATED OLEIC ACID, AMMONIUM SALT', '9(OR 10)-(SULFOOXY)OCTADECANOIC ACID, AMMONIUM SALT']"
68422-22-0,"OLEIC ACID, SULFATED, POTASSIUM SALT","176.17, 176.2","['OCTADECANOIC ACID, 9(OR 10)-(SULFOOXY)-, POTASSIUM SALT', 'SULFATED OLEIC ACID, POTASSIUM SALT', '9(OR 10)-(SULFOOXY)OCTADECANOIC ACID, POTASSIUM SALT']"
68331-91-9,"OLEIC ACID, SULFATED, SODIUM SALT","176.17, 176.2, 177.12","['OCTADECANOIC ACID, 9(OR 10)-(SULFOOXY)-, SODIUM SALT', 'SULFATED OLEIC ACID, SODIUM SALT', '9(OR 10)-(SULFOOXY)OCTADECANOIC ACID, SODIUM SALT']"
14990-62-6,N-OLEOYL-N'-LINOLEOYLETHYLENEDIAMINE,"176.18, 177.12","['LINOLEAMIDE, N-(2-OLEAMIDOETHYL)-', 'N-(2-LINOLEAMIDOETHYL)OLEAMIDE', 'N-(OLEAMIDOETHYL)LINOLEAMIDE', 'N-(2-OLEAMIDOETHYL)LINOLEAMIDE']"
110-25-8,OLEOYL SARCOSINE,"178.313, 178.357","['N-METHYL-N-(1-OXO-9-OCTADECENYL)GLYCINE, (Z)-', 'GLYCINE, N-METHYL-N-(1-OXO-9-OCTADECENYL)-, (Z)-', 'SARCOSINE, N-OLEOYL-']"
977033-05-8,N-OLEOYL-N'-STEAROYLETHYLENEDIAMINE,"176.17, 176.18, 177.12","[""N,N'-OLEOYLSTEARYLETHYLENEDIAMINE"", 'N-(2-STEARAMIDOETHYL)OLEAMIDE']"
143-28-2,OLEYL ALCOHOL,"176.17, 176.18, 176.21, 177.121","['9-OCTADECEN-1-OL, (Z)-', '9-OCTADECENOL, CIS-', '9-octadecen-1-ol, (9Z)-']"
16260-09-6,OLEYL PALMITAMIDE,"175.38, 177.12, 178.386","['N-OLEYLPALMITAMIDE', 'HEXADECANAMIDE, N-9-OCTADECENYL-, (Z)-', 'N-9-OCTADECENYLHEXADECANAMIDE, (Z)-']"
7173-62-8,"N-OLEYL-1,3-PROPYLENEDIAMINE",175.3,"['OLEYLTRIMETHYLENEDIAMINE', 'N-OLEYL-1,3-PROPANEDIAMINE', 'N-9-OCTADECENYL-1,3-PROPANEDIAMINE, (Z)-', '1,3-PROPANEDIAMINE, N-9-OCTADECENYL-, (Z)-']"
202483-55-4,"7-OXA-3,20-DIAZADISPIRO-[5.1.11.2]-HENEICOSAN-21-ONE,2,2,4,4-TETRAMETHYL-,HYDROCHLORIDE, REACTION PRODUCTS WITH EPICHLOROHYDRIN, HYDROLYZED, POLYMERIZED",178.201,"['7-OXA-3,20-DIAZADISPIRO(5.1.11.2)HENEICOSAN-21-ONE, 2,2,4,4-TETRAMETHYL-, HYDROCHLORIDE, REACTION PRODUCTS WITH EPICHLOROHYDRIN, HYDROLYZED, POLYMD.']"
144-62-7,OXALIC ACID,"177.101, 177.241",['ETHANEDIOIC ACID']
70331-94-1,"2,2'-OXAMIDOBIS(ETHYL 3-(3,5-DI-TERT-BUTYL-4-HYDROXYPHENYL)PROPIONATE)","175.105, 178.201","['(1,2-DIOXO-1,2-ETHANEDIYL)BIS(IMINO-2,1-ETHANEDIYL) 3,5-BIS(1,1-DIMETHYLETHYL)-4-HYDROXYBENZENEPROPANOATE', 'BENZENEPROPANOIC ACID, 3,5-BIS(1,1-DIMETHYLETHYL)-4-HYDROXY-, (1,2-DIOXO-1,2-ETHANEDIYL)BIS(IMINO-2,1-ETHANEDIYL) ESTER', 'OXALYLBIS(IMINOETHYLENE) 3,5-DI-TERT-BUTYL-4-HYDROXYHYDROCINNAMATE']"
46235-93-2,OXAZOLIDINYLETHYL METHACRYLATE,176.17,"['OXAZOLIDINYLETHYL METHACRYLATE', '2-PROPENOIC ACID, 2-METHYL-, 2-(3-OXAZOLIDINYL)ETHYL ESTER', '2-(3-OXAZOLIDINYL)ETHYL 2-METHYL-2-PROPENOATE']"
504-77-8,OXAZOLINE,175.105,"['2-OXAZOLINE', 'OXAZOLE, 4,5-DIHYDRO-', '4,5-DIHYDROXAZOLE']"
143925-92-2,OXIDIZED BIS(HYDROGENATED TALLOW ALKYL)AMINES,178.201,"['BIS(HYDROGENATED TALLOW)AMINE, OXIDIZED', 'AMINES, BIS(HYDROGENATED TALLOW ALKYL), OXIDIZED', 'OXIDIZED BIS(HYDROGENATED TALLOW ALKYL)AMINE']"
977074-40-0,OXIDIZED SOY ISOLATE,176.18,"['SOY ISOLATE, OXIDIZED']"
26142-30-3,"ALPHA-(OXIRANYLMETHYL)-OMEGA-(OXIRANYLMETHOXY)POLY(OXY(METHYL-1,2-ETHANEDIYL))",175.105,"['POLY(OXY(METHYL-1,2-ETHANEDIYL)), ALPHA-(OXIRANYLMETHYL)-OMEGA-(OXIRANYLMETHOXY)-', 'ALPHA-(OXIRANYLMETHYL)-OMEGA-(OXIRANYLMETHOXY)POLY(OXY(METHYL-1,2-ETHANEDIYL))', '1-PROPANOL, 2,3-EPOXY-, DIETHER WITH POLYPROPYLENE GLYCOL', 'POLYPROPYLENE GLYCOL DIGLYCIDYL ETHER', 'GLYCOLS, POLYPROPYLENE, BIS(2,3-EPOXYPROPYL) ETHER']"
131-57-7,OXYBENZONE,177.101,"['2-HYDROXY-4-METHOXYBENZOPHENONE', 'BENZOPHENONE, 2-HYDROXY-4-METHOXY-', 'METHANONE, (2-HYDROXY-4-METHOXYPHENYL)PHENYL-', '(2-HYDROXY-4-METHOXYPHENYL)PHENYLMETHANONE']"
80-51-3,"4,4'-OXYBIS(BENZENESULFONYL HYDRAZIDE)","177.121, 177.26","[""BENZENESULFONIC ACID, 4,4'-OXYBIS-, DIHYDRAZIDE"", ""BENZENESULFONIC ACID, 4,4'-OXYDI-, DIHYDRAZIDE"", ""4,4'-OXYBIS(BENZENESULFONIC ACID) DIHYDRAZIDE"", ""4,4'-OXYDIBENZENESULFONIC ACID DIHYDRAZIDE""]"
41638-13-5,"2,2'-(OXYBIS((METHYL-2,1-ETHANEDIYL)-OXYMETHYLENE))BISOXIRANE",175.105,"['PPG-2 DIGLYCIDYL ETHER', ""OXIRANE, 2,2'-(OXYBIS((METHYL-2,1-ETHANEDIYL)OXYMETHYLENE))BIS-"", ""2,2'-(OXYBIS((METHYL-2,1-ETHANEDIYL)OXYMETHYLENE))BIS(OXIRANE)""]"
977048-39-7,N-OXYDIETHYLENE-BENZOTHIAZOLE,175.105,"['3-(2-HYDROXYETHYL)-2-OXYETHYL-2,3-DIHYDROBENZOTHIAZOLE']"
102-77-2,N-(OXYDIETHYLENE)BENZOTHIAZOLE-2-SULFENAMIDE,177.26,"['BENZOTHIAZOLE, 2-(MORPHOLINOTHIO)-', 'MORPHOLINE, 4-(2-BENZOTHIAZOLYLTHIO)-', 'N-OXYDIETHYLENE-2-BENZOTHIAZOLYLSULFENAMIDE', 'N-OXYDIETHYLENEBENZOTHIAZOLE-2-SULFENAMIDE', 'N,N-(OXYDIETHYLENE)BENZOTHIAZOLE-2-SULFENAMIDE', 'N-MORPHOLINO-2-BENZOTHIAZOLYLSULFENAMIDE', 'N-OXYDIETHYL-2-BENZOTHIAZOLESULFENAMIDE', '2-(4-MORPHOLINYLMERCAPTO)BENZOTHIAZOLE', '2-(MORPHOLINOTHIO)BENZOTHIAZOLE', '2-BENZOTHIAZOLESULFENEMORPHOLIDE', '2-BENZOTHIAZOLESULFENIC ACID MORPHOLIDE', '2-BENZOTHIAZOLYL N-MORPHOLINO SULFIDE', '2-BENZOTHIAZOLYLSULFENYLMORPHOLINE', '4-(2-BENZOTHIAZOLYLTHIO)MORPHOLINE']"
7782-44-7,OXYGEN,"176.21, 177.28","['OXYGEN MOLECULE', 'OXYGEN, MOLECULAR']"
8028-45-3,OXYSTEARIN,"172.818, 173.34, 176.17, 169.115 ,  169.140 ,  169.150","['GLYCERIDES, OXIDIZED', 'OXIDIZED GLYCERIDE']"
12198-93-5,OZOKERITE,175.105,"['OZOCERITE', 'OZOKERITE WAX']"
629-54-9,PALMITAMIDE,"175.105, 175.3, 178.391, 179.45, 181.28","['PALMITIC ACID AMIDE', 'HEXADECANAMIDE']"
1190-63-2,PALMITYL STEARATE,178.345,"['HEXADECYL STEARATE, NORMAL', 'PALMITYL STEARATE', 'OCTADECANOIC ACID, HEXADECYL ESTER', 'HEXADECYL OCTADECANOATE', 'STEARIC ACID, HEXADECYL ESTER']"
8002-75-3,PALM OIL,"175.3, 176.21","['PALM BUTTER', 'PALM FRUIT OIL', 'ELAEIS GUINEENSIS OIL']"
977069-41-2,PALM OIL DIETHANOLAMIDE,"176.21, 177.28",['PALMAMIDE DEA']
68440-15-3,PALM OIL FATTY ACIDS,"176.21, 177.28",[]
84238-17-5,"PALM OIL FATTY ACIDS, HYDROGENATED","176.21, 177.28","['FATTY ACIDS, PALM-OIL, HYDROGENATED']"
61790-79-2,"PALM OIL FATTY ACIDS, SODIUM SALT",177.28,"['FATTY ACIDS, PALM-OIL, SODIUM SALTS']"
68514-74-9,"PALM OIL, HYDROGENATED","176.21, 177.28","['PALM OIL, HYDROGENATED', 'PALM OIL, HARDENED', 'OILS, PALM, HYDROGENATED', 'OIL, HYDROGENATED PALM']"
91052-66-3,PALM OIL MONO- AND DIGLYCERIDES,176.21,"['GLYCERIDES, PALM-OIL MONO- AND DI-']"
67784-87-6,"PALM OIL MONO- AND DIGLYCERIDES, HYDROGENATED",176.21,"['HYDROGENATED MONO- AND DI- PALM OIL GLYCERIDES', 'GLYCERIDES, PALM-OIL MONO- AND DI-, HYDROGENATED']"
91744-64-8,"PALM OIL MONO-, DI AND TRIGLYCERIDES",176.21,"['GLYCERIDES, PALM-OIL MONO-, DI- AND TRI-']"
