cas_rn,substance,regs,syns
9003-03-6,AMMONIUM POLYACRYLATE,175.105,"['ACRYLIC ACID HOMOPOLYMER, AMMONIUM SALT', 'ACRYLIC ACID, POLYMERS, AMMONIUM SALT', 'AMMONIUM POLY(2-PROPENOATE)', 'POLY(ACRYLIC ACID), AMMONIUM SALT', '2-PROPENOIC ACID, HOMOPOLYMER, AMMONIUM SALT']"
10279-61-5,AMMONIUM POTASSIUM HYDROGEN PHOSPHATE,"175.105, 175.3, 181.29","['AMMONIUM POTASSIUM PHOSPHATE', 'PHOSPHORIC ACID, MONOAMMONIUM MONOPOTASSIUM SALT']"
7773-06-0,AMMONIUM SULFAMATE,175.105,"['AMS', 'MONOAMMONIUM SULFAMATE', 'AMMONIUM SULPHAMATE', 'SULFAMIC ACID, MONOAMMONIUM SALT']"
7783-20-2,AMMONIUM SULFATE,"73.85, 177.12, 184.1143","['DIAMMONIUM SULFATE', 'SULFURIC ACID, DIAMMONIUM SALT', 'SULFATE, AMMONIUM']"
1762-95-4,AMMONIUM THIOCYANATE,175.105,"['THIOCYANIC ACID, AMMONIUM SALT', 'AMMONIUM ISOTHIOCYANATE']"
7783-18-8,AMMONIUM THIOSULFATE,"175.105, 176.17","['THIOSULFURIC ACID (H2S2O3), DIAMMONIUM SALT', 'DIAMMONIUM THIOSULFATE', 'THIOSULFURIC ACID, DIAMMMONIUM SALT', 'AMMONIUM THIOSULFATE ((NH4)2S2O3)', 'AMMONIUM HYPOSULFITE']"
149564-64-7,AMMONIUM ZIRCONIUM CITRATE HYDROXY LACTATE,176.17,"['AMMONIUM ZIRCONIUM HYDROXY LACTATE CITRATE', 'CITRATE HYDROXY LACTATE AMMONIUM ZIRCONIUM COMPLEXES', 'ZIRCONIUM, CITRATE HYDROXY LACTATE AMMONIUM COMPLEXES']"
149564-62-5,AMMONIUM ZIRCONIUM HYDROXY CITRATE,176.17,"['AMMONIUM ZIRCONIUM CITRATE HYDROXY COMPLEXES', 'CITRATE HYDROXY AMMONIUM ZIRCONIUM COMPLEXES', 'ZIRCONIUM, CITRATE HYDROXY AMMONIUM COMPLEXES']"
149564-63-6,AMMONIUM ZIRCONIUM HYDROXY LACTATE,176.17,"['AMMONIUM ZIRCONIUM HYDROXY LACTATE COMPLEXES', 'HYDROXY LACTATE AMMONIUM ZIRCONIUM COMPLEXES', 'ZIRCONIUM, HYDROXY LACTATE AMMONIUM COMPLEXES']"
32535-84-5,AMMONIUM ZIRCONYL CARBONATE,176.17,"['AMMONIUM ZIRCONIUM CARBONATE HYDROXIDE', 'AMMONIUM TRICARBONATOZIRCONATE', 'AMMONIUM ZIRCONIUM CARBONATE', 'ZIRCONYL AMMONIUM CARBONATE', 'ZIRCONATE(3-), TRIS(CARBONATO)HYDROXY-, TRIAMMONIUM', 'ZIRCONATE(3-), TRIS(CARBONATO(2-)-O)HYDROXY-, TRIAMMONIUM, (T-4)-']"
628-63-7,AMYL ACETATE,175.105,"['PENTYL ACETATE', 'ACETIC ACID, PENTYL ESTER', '1-ACETOXYPENTANE']"
71-41-0,AMYL ALCOHOL,"172.515, 176.18, 176.21","['PENTYL ALCOHOL', '1-PENTANOL', 'PENTANOL', 'BUTYLCARBINOL']"
20314-74-3,AMYL FUMARATE,"175.105, 175.3, 176.17","['2-BUTENEDIOIC ACID (E)-, DIPENTYL ESTER', 'DIPENTYL 2-BUTENEDIOATE, (E)-', 'FUMARIC ACID, DIPENTYL ESTER', 'DIPENTYL FUMARATE']"
10099-71-5,AMYL MALEATE,"175.3, 176.17","['DIPENTYL MALEATE', 'AMYL MALEATE', '2-BUTENEDIOIC ACID (Z)-, DIPENTYL ESTER', 'DIPENYL 2-BUTENEDIOATE, (Z)-', 'MALIC ACID, DIPENTYL ESTER']"
9005-82-7,AMYLOSE,176.18,['ALPHA-AMYLOSE']
80-46-6,"AMYLPHENOL, P-TERT-","175.3, 177.241, 178.101","['PENTYLPHENOL, P-TERT-', '4-(1,1-DIMETHYLPROPYL)PHENOL', '4-TERT-PENTYLPHENOL', 'TERTIARYAMYLPHENOL, P-', 'PHENOL, 4-(1,1-DIMETHYLPROPYL)-', 'PHENOL, P-TERT-PENTYL-', 'AMYLPHENOL, P-TERT-', 'TERT-AMYLPHENOL, P-']"
4744-47-2,ANHYDROENNEAHEPTITOL,175.105,"['2H-PYRAN-3,3,5,5(4H,6H)-TETRAMETHANOL, 4-HYDROXY-', '4-HYDROXY-2H-PYRAN-3,3,5,5(4H,6H)-TETRAMETHANOL', '4-HYDROXY-3,3,5,5-TETRAKIS(HYDROXYMETHYL)TETRAHYDROPYRAN', '3,3,5,5-TETRAMETHYLOL-4-HYDROXYPYRAN']"
1319-78-4,ANHYDROGALACTOSE,,"['GALACTOSE, ANHYDRO-']"
62-53-3,ANILINE,"177.241, 177.26","['BENZENAMINE', 'BLUE OIL', 'PHENYLAMINE', 'ANILINE OIL', 'AMINOBENZENE', 'C.I. 76000']"
92113-40-1,ANIMAL FAT,"175.105, 166.110","['FAT, ANIMAL', 'FATS, ANIMAL']"
68953-18-4,"ANIMAL FAT, HYDROGENATED",175.105,"['FAT, ANIMAL, HYDROGENATED', 'FATS, ANIMAL, HYDROGENATED', 'FAT, HYDROGENATED ANIMAL', 'HYDROGENATED ANIMAL FAT']"
977139-08-4,ANIMAL OIL FATTY ACID AMIDES,"175.32, 178.386","['FATTY ACIDS, ANIMAL, AMIDE']"
84-65-1,"9,10-ANTHRAQUINONE",176.17,"['9,10-ANTHRACENEDIONE', 'ANTHRACENE-9,10-QUINONE', 'ANTHRADIONE', 'HOELITE', '9,10-ANTHRAQUINONE', '9,10-DIOXOANTHRACENE']"
1327-33-9,ANTIMONY OXIDE,175.105,[]
1320-64-5,ARACHIDYL-BEHENYL AMIDE,"177.121, 178.386","['EICOSYLDOCOSANAMIDE', 'DOCOSANAMIDE, EICOSYL-', 'C20-22 FATTY ACIDS AMIDE']"
1332-21-4,ASBESTOS,"175.105, 177.241, 177.242, 177.26","['ASBESTOS FIBER', 'CALCIUM-MAGNESIUM SILICATE, NATIVE']"
